county_name,ev_location,ev_address,ev_city_state_zip,ev_location_type,ev_dates,ev_hours,ev_notes
DuPage County,DuPage County Clerk Election Division,421 N County Farm Rd,"Wheaton, IL  60187",Permanent Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 16, 2020",8:30 am - 7:30 pm, 
DuPage County,Fox Valley Mall,195 Fox Valley Center Dr,"Aurora, IL  60504",Permanent Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 16, 2020",8:30 am - 7:30 pm, 
DuPage County,Naperville Municipal Center,400 S Eagle St,"Naperville, IL  60540",Permanent Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 16, 2020",8:30 am - 7:30 pm, 
DuPage County,Olive Trees Condominiums,200 E Bailey Rd,"Naperville, IL  60565",Permanent Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 16, 2020",8:30 am - 7:30 pm, 
DuPage County,Stratford Square Mall,152 Stratford Square,"Bloomingdale, IL  60108",Permanent Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 16, 2020",8:30 am - 7:30 pm, 
Edgar County,Edgar County Courthouse,115 W Court St,"Paris, IL  61944",Temporary Early Voting Location,"Feb. 6, 2020 -March 16, 2020",Monday thru Friday 8:00 AM to 4:00 PM, 
Edwards County,Edwards County Clerk’s office,50 E Main St,"Albion, IL  62806",Temporary Early Voting Location,"February 6 to March 16, 2020 Also Saturday, March 14, 2020 8:30 a.m. to noon","8:30 a.m. to 3:30 p.m. Monday thru Friday, except Holidays. Saturday March 17th 8:30 a.m.to noon",Closed February 12th and 17th
Effingham County,Benwood Conference Room,101 N Fourth St,"Effingham, IL  62401",Temporary Early Voting Location,"February 06, 2020 through March 16, 2020",Monday through Friday 8:00 a.m. to 4:00 p.m,Serving all of Effingham County
Fayette County,Fayette County Courthouse,221 S 7th St,"Vandalia, IL  62471",Temporary Early Voting with Grace Period Registration,"February 6, 2020- March 16, 2020",8am to 4pm Mon Thru Friday ,"Grace Period Registration  to begin February 19, 2020."
Ford County,Ford County Clerk’s Office,200 W State St,"Paxton, IL  60957",Temporary Early Voting with Grace Period Registration,"FEBRUARY 06, 2020 AND CONCLUDE MARCH 16, 2020",8:30 A.M. TO 4:30 P.M., 
Franklin County,Election Office/Campbell Building,901 Public Square,"Benton, IL  62812",Temporary Early Voting Location,"February 6 - February 18, 2020",8:00am - 4:00pm, 
Fulton County,Fulton County Courthouse,100 N Main St,"Lewistown, IL  61542",Temporary Early Voting with Grace Period Registration,"February 6 thru March 16, 2020  Also Saturday March 7 and March 14, 8:00 am to 12:00pm Early & Grace",8:00 am to 4:00 pm, 
Fulton County,Fulton County Health Department,700 E Oak St,"Canton, IL  61520",Grace Period on Election Day Location,"March 17, 2020",6:00am to 7:00pm, 
Gallatin County,County Clerk's Office,484 N LINCOLN BOULEVARD W,"SHAWNEETOWN, IL  62984",Temporary Early Voting Location,"Begins on February 6, 2020 and concludes March 16, 2020",8:00 am to 4:00 pm Monday thru Friday except Holidays, 
Greene County,County Clerk's Office,519 N Main,"Carrollton, IL  62016",Permanent Early Voting with Grace Period Registration,"February 6, 2020 and will conclude on March 17, 2020",8a.m. to 4p.m Monday through Friday, 
Grundy County,Grundy County Clerk's Office,111 E. Washington Street,"Morris, IL  60450",Temporary Early Voting with Grace Period Registration,"Begins on February 6, 2020 and concludes on March 16, 2020","8:30 a.m. to 4:30 p.m., Monday through Friday, except Holidays",Additional hours listed below
Hamilton County,Hamilton County Clerk's Office,100 S Jackson St,"McLeansboro, IL  62859",Temporary Early Voting Location,"February 6, 2020 - March 16, 2020","Monday - Friday 8:00 am - 4:30 pm, Saturday March 7, 2020 & Saturday March 14, 2020 8:00 am - 12:00 pm","Except Holidays February 12, 2020 & February 17, 2020"
Hancock County,"Election Office, County Courthouse",500 Main St.,"Carthage, IL  62321",Permanent Early Voting with Grace Period Registration,"February 6 - March 16, 2020",8:00 A.M. to Noon - 1:00 P.M. to 4:00 P.M.,"1st Floor, Courthouse - Elections/Voter Registration Office "
Hardin County,County Clerk's Office,102 E Market Street,"Elizabethtown, IL  62931",Temporary Early Voting with Grace Period Registration,"Early Voting Begins on February 6, 2020 and concludes March 16, 2020 ","8:00 A.M. TO 4:00 P.M. Monday thru Friday, except Holidays", 
Henderson County,Henderson County Clerk's Office,307 Warren St,"Oquawka, IL  61469",Temporary Early Voting Location,"Begins on February 6, 2020 and concludes March 16, 2020","Monday thru Friday 8:00 A.M to 4:00 P.M, except Holidays","Open Saturday, March 14, 2020 from 8:00 A.M. to 12:00 P.M."
Henry County,Henry County Courthouse,307 W Center St,"Cambridge, IL  61238",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020",8:00 a.m. to 4:30 p.m. Monday thru Friday,"Monday, February 17, 2020 the Courthouse is closed in observance of President's Day"
Iroquois County,Iroquois County Clerk's Office,1001 E Grant St,"Watseka, IL  60970",Temporary Early Voting with Grace Period Registration,"Begins February 6, 2020 - March 16, 2020","8:30 a.m. - 4:30 p.m., Monday through Friday","Saturday, March 14, 2020 8:30 a.m. - noon"
Jackson County,Carbondale City Hall,200 S Illinois Ave,"Carbondale, IL  62901",Temporary Early Voting with Grace Period Registration,"March 3rd, 5th, & 10th, 2020",9:00 AM to 3:00 PM, 
Jackson County,SIU Student Center,1255 Lincoln Dr,"Carbondale, IL  62901",Temporary Early Voting with Grace Period Registration,"March 2nd, 11th, 12th, & 13th, 2020",10:00 A.M. to 5:00 P.M., 
Jackson County,Jackson County Clerk’s Office,1001 Walnut St,"Murphysboro, IL  62966",Temporary Early Voting Location,"February 6th, 2020 through February 18th, 2020",Monday thru Friday 8:00 AM to 4:00 PM,Excluding Holidays
Jasper County,County Clerk's Office,204 W Washington ST,"Newton, IL  62448",Temporary Early Voting Location,"Begins on February 6, 2020 and concludes March 16,2020","8:00 am to 4:00 pm Monday thru Friday, except Holidays", 
